Tools,Port 2: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97093,1,OK,0.778602,0.0523243,-0.6252902,0.0073001,-29.526,-121.989,-1191.776,0.3701265,4,OK,-29.28,-121.902,-1192.112,OK,-78.021,-126.502,-1180.686,OK,-128.855,-106.343,-1168.801,OK,-159.238,-159.033,-1164.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97096,1,OK,0.7773298,0.039241,-0.6277621,0.0115481,-29.967,-119.216,-1192.451,0.3834011,4,OK,-29.724,-119.141,-1192.806,OK,-78.577,-122.962,-1181.513,OK,-129.26,-102.003,-1170.508,OK,-160.196,-154.275,-1165.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97099,1,OK,0.7745407,0.034536,-0.6315766,-0.0022294,-30.628,-115.562,-1193.744,0.4130253,4,OK,-30.374,-115.488,-1194.127,OK,-79.412,-118.072,-1183.199,OK,-129.591,-95.847,-1172.462,OK,-162.014,-147.287,-1168.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97102,1,OK,0.7730067,0.0243271,-0.6338792,-0.00813,-30.997,-111.834,-1194.458,0.4089648,4,OK,-30.736,-111.772,-1194.838,OK,-79.883,-113.173,-1184.149,OK,-129.608,-89.745,-1173.845,OK,-163.172,-140.425,-1169.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97105,1,OK,0.7736041,0.0233933,-0.6330789,-0.0141587,-30.907,-110.48,-1194.039,0.4005617,4,OK,-30.648,-110.424,-1194.411,OK,-79.78,-111.371,-1183.637,OK,-129.241,-87.489,-1173.055,OK,-163.308,-137.844,-1168.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97108,1,OK,0.773184,0.0198503,-0.6336714,-0.0159059,-30.988,-109.271,-1194.234,0.3988809,4,OK,-30.727,-109.212,-1194.603,OK,-79.878,-109.782,-1183.898,OK,-129.178,-85.505,-1173.45,OK,-163.617,-135.59,-1169.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97111,1,OK,0.7742587,0.0132402,-0.6326252,-0.0115526,-30.855,-108.263,-1193.873,0.3954758,4,OK,-30.595,-108.212,-1194.239,OK,-79.713,-108.53,-1183.39,OK,-128.945,-84.013,-1173.169,OK,-163.448,-133.974,-1167.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97114,1,OK,0.7759259,0.008342,-0.6306945,-0.0096903,-30.611,-107.333,-1193.151,0.3981497,4,OK,-30.345,-107.289,-1193.523,OK,-79.417,-107.339,-1182.411,OK,-128.519,-82.551,-1172.185,OK,-163.151,-132.36,-1166.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97117,1,OK,0.7786949,0.0053198,-0.6273442,-0.0067201,-30.16,-107.068,-1191.832,0.3860287,4,OK,-29.912,-107.027,-1192.197,OK,-78.874,-107.028,-1180.679,OK,-127.897,-82.189,-1170.223,OK,-162.426,-131.985,-1163.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97120,1,OK,0.7824474,0.0043132,-0.6226891,-0.0039704,-29.55,-107.28,-1190.08,0.3957379,4,OK,-29.307,-107.236,-1190.459,OK,-78.124,-107.34,-1178.329,OK,-127.099,-82.594,-1167.433,OK,-161.395,-132.464,-1160.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Port 2: NDI 8700340  s/n:34802401,97123,1,OK,0.7839773,0.0044926,-0.6207728,0.0007665,-29.299,-108.172,-1189.364,0.4075913,4,OK,-29.06,-108.127,-1189.757,OK,-77.812,-108.539,-1177.35,OK,-126.922,-84.108,-1166.384,OK,-160.801,-134.194,-1158.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
